"","periodo","provincia","departamento","titulares","titulares_por2","mes","anio","mes_n"
"1112",2021-05-01,"Misiones","Iguazú",227,454,"mayo",2021,5
"1113",2021-07-01,"Misiones","Cainguás",227,454,"julio",2021,7
"1114",2021-09-01,"Misiones","Montecarlo",227,454,"septiembre",2021,9
"1115",2021-08-01,"Misiones","Montecarlo",228,456,"agosto",2021,8
"1116",2020-03-01,"Misiones","Iguazú",229,458,"marzo",2020,3
"1117",2020-04-01,"Misiones","Iguazú",229,458,"abril",2020,4
"1118",2020-05-01,"Misiones","Iguazú",229,458,"mayo",2020,5
"1119",2020-06-01,"Misiones","Iguazú",229,458,"junio",2020,6
"1120",2021-06-01,"Misiones","Iguazú",229,458,"junio",2021,6
"1121",2021-11-01,"Misiones","Cainguás",229,458,"noviembre",2021,11
"1122",2021-08-01,"Misiones","Cainguás",230,460,"agosto",2021,8
"1123",2021-09-01,"Misiones","Cainguás",230,460,"septiembre",2021,9
"1124",2021-10-01,"Misiones","Cainguás",230,460,"octubre",2021,10
"1125",2021-10-01,"Misiones","Montecarlo",230,460,"octubre",2021,10
"1126",2021-11-01,"Misiones","Montecarlo",230,460,"noviembre",2021,11
"1127",2021-01-01,"Misiones","Candelaria",232,464,"enero",2021,1
"1128",2021-08-01,"Misiones","Iguazú",235,470,"agosto",2021,8
"1129",2021-04-01,"Misiones","Leandro N. Alem",236,472,"abril",2021,4
"1130",2021-12-01,"Misiones","Oberá",236,472,"diciembre",2021,12
"1131",2021-07-01,"Misiones","Iguazú",237,474,"julio",2021,7
"1132",2021-10-01,"Misiones","Iguazú",237,474,"octubre",2021,10
"1133",2021-09-01,"Misiones","Iguazú",238,476,"septiembre",2021,9
"1134",2021-11-01,"Misiones","Iguazú",238,476,"noviembre",2021,11
"1135",2021-12-01,"Misiones","Iguazú",238,476,"diciembre",2021,12
"1136",2021-04-01,"Misiones","San Ignacio",240,480,"abril",2021,4
"1137",2021-12-01,"Misiones","Cainguás",244,488,"diciembre",2021,12
"1138",2021-08-01,"Misiones","San Javier",245,490,"agosto",2021,8
"1139",2021-07-01,"Misiones","San Javier",249,498,"julio",2021,7
"1140",2021-09-01,"Misiones","San Javier",250,500,"septiembre",2021,9
"1141",2020-03-01,"Misiones","General Manuel Belgrano",252,504,"marzo",2020,3
"1142",2020-04-01,"Misiones","General Manuel Belgrano",253,506,"abril",2020,4
"1143",2021-02-01,"Misiones","Candelaria",253,506,"febrero",2021,2
"1144",2020-05-01,"Misiones","General Manuel Belgrano",254,508,"mayo",2020,5
"1145",2021-03-01,"Misiones","Candelaria",254,508,"marzo",2021,3
"1146",2021-05-01,"Misiones","General Manuel Belgrano",257,514,"mayo",2021,5
"1147",2021-06-01,"Misiones","General Manuel Belgrano",257,514,"junio",2021,6
"1148",2020-07-01,"Misiones","General Manuel Belgrano",259,518,"julio",2020,7
"1149",2020-06-01,"Misiones","General Manuel Belgrano",260,520,"junio",2020,6
"1150",2020-08-01,"Misiones","General Manuel Belgrano",261,522,"agosto",2020,8
"1151",2020-09-01,"Misiones","General Manuel Belgrano",261,522,"septiembre",2020,9
"1152",2021-07-01,"Misiones","Cainguás",262,524,"julio",2021,7
"1153",2021-08-01,"Misiones","Cainguás",263,526,"agosto",2021,8
"1154",2021-09-01,"Misiones","Cainguás",265,530,"septiembre",2021,9
"1155",2021-10-01,"Misiones","San Javier",265,530,"octubre",2021,10
"1156",2021-12-01,"Misiones","Montecarlo",265,530,"diciembre",2021,12
"1157",2021-11-01,"Misiones","Cainguás",266,532,"noviembre",2021,11
"1158",2020-12-01,"Misiones","General Manuel Belgrano",270,540,"diciembre",2020,12
"1159",2021-05-01,"Misiones","Leandro N. Alem",272,544,"mayo",2021,5
"1160",2021-10-01,"Misiones","Cainguás",272,544,"octubre",2021,10
"1161",2020-08-01,"Misiones","Iguazú",273,546,"agosto",2020,8
"1162",2020-10-01,"Misiones","General Manuel Belgrano",273,546,"octubre",2020,10
"1163",2020-11-01,"Misiones","General Manuel Belgrano",273,546,"noviembre",2020,11
"1164",2021-04-01,"Misiones","Candelaria",274,548,"abril",2021,4
"1165",2021-05-01,"Misiones","San Ignacio",274,548,"mayo",2021,5
"1166",2021-06-01,"Misiones","Leandro N. Alem",274,548,"junio",2021,6
"1167",2021-06-01,"Misiones","San Ignacio",275,550,"junio",2021,6
"1168",2020-09-01,"Misiones","Iguazú",276,552,"septiembre",2020,9
"1169",2021-07-01,"Misiones","Libertador General San Martín",279,558,"julio",2021,7
"1170",2021-12-01,"Misiones","Cainguás",279,558,"diciembre",2021,12
"1171",2021-07-01,"Misiones","San Ignacio",283,566,"julio",2021,7
"1172",2021-08-01,"Misiones","Libertador General San Martín",287,574,"agosto",2021,8
"1173",2021-09-01,"Misiones","Libertador General San Martín",287,574,"septiembre",2021,9
"1174",2021-08-01,"Misiones","San Ignacio",288,576,"agosto",2021,8
"1175",2021-09-01,"Misiones","San Ignacio",289,578,"septiembre",2021,9
"1176",2021-11-01,"Misiones","San Javier",291,582,"noviembre",2021,11
"1177",2021-10-01,"Misiones","San Ignacio",297,594,"octubre",2021,10
"1178",2021-10-01,"Misiones","Libertador General San Martín",302,604,"octubre",2021,10
"1179",2020-08-01,"Misiones","Guaraní",307,614,"agosto",2020,8
"1180",2020-09-01,"Misiones","Guaraní",307,614,"septiembre",2020,9
"1181",2021-12-01,"Misiones","San Javier",307,614,"diciembre",2021,12
"1182",2020-07-01,"Misiones","San Ignacio",310,620,"julio",2020,7
"1183",2020-04-01,"Misiones","San Ignacio",311,622,"abril",2020,4
"1184",2020-05-01,"Misiones","San Ignacio",311,622,"mayo",2020,5
"1185",2020-03-01,"Misiones","San Ignacio",312,624,"marzo",2020,3
"1186",2021-05-01,"Misiones","Candelaria",312,624,"mayo",2021,5
"1187",2020-06-01,"Misiones","San Ignacio",314,628,"junio",2020,6
"1188",2021-06-01,"Misiones","Candelaria",319,638,"junio",2021,6
"1189",2020-11-01,"Misiones","Iguazú",325,650,"noviembre",2020,11
"1190",2020-10-01,"Misiones","Iguazú",327,654,"octubre",2020,10
"1191",2021-01-01,"Misiones","General Manuel Belgrano",327,654,"enero",2021,1
